Task,roberta-large,albert-xxlarge-v2,xlm-roberta-large,bert-large-cased,roberta-med-small-1M
BoolQ,0.857,0.873,0.842,0.761,0.686
CB,0.905,0.806,0.699,0.846,0.605
CSQA,0.746,0.805,0.238,0.608,0.225
COPA,0.86,0.96,0.62,0.8,0.54
RTE,0.876,0.812,0.572,0.819,0.609
WiC,0.715,0.743,0.715,0.696,0.592
SNLI,0.927,0.924,0.917,0.905,0.785
QAMR,0.796,0.796,0.793,0.764,0.287
CosmosQA,0.794,0.865,0.717,0.649,0.42
HellaSwag,0.841,0.898,0.745,0.439,0.3
WSC,0.788,0.788,0.615,0.654,0.519
SocialIQA,0.799,0.794,0.389,0.661,0.461
ARC-C,0.375,0.475,0.381,0.398,0.271
ARC-E,0.625,0.693,0.409,0.614,0.319
ARCT,0.867,0.835,0.766,0.744,0.646
SQuAD2.0,0.9145,0.8989,0.8698,0.886,0.582
MNLI,0.897,0.884,0.877,0.852,0.609
ANLI,0.508,0.627,0.479,0.484,0.352
MuTual,0.8781,0.8984,0.269,0.725,0.413
MuTual+,0.779,0.828,0.655,0.659,0.404
Quoref,0.7874,0.837,0.7626,0.6981,0.2159
MRQA-NQ,0.6987,0.715,0.6692,0.6725,0.4313
NewsQA,0.5782,0.5956,0.5623,0.5346,0.0893
MCScript,0.928,0.96,0.901,0.841,0.617
MC-TACO,0.559,0.559,0.477,0.432,0.27
QuAIL,0.733,0.78,0.639,0.544,0.407
Winogrande,0.777,0.856,0.526,0.529,0.509
PiQA,0.776,0.806,0.535,0.657,0.559
AbductiveNLI,0.85,0.838,0.764,0.664,0.533